,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
Well 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8447197.398,,9278956.283
Well 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25968603.14,30289375.63
Well 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10113646.51,18429750.52,64201417.88
Well 4,6542818.851,860037.799,776533.764,1551357.89,2049337.204,5435459.522,5563656.224,7065453.095,9620044.008,11420196.16,29919345.16,61127379.34,50983372.77,72655185.36,71053765.09,55455351.21,316409628,166124686.4,305704874.6,528870208.9
Well 5,5752427.644,1193323.731,567331.7311,1640317.342,2542491.034,4949224.742,5276672.98,6073756.516,9975831.097,31747059,11786504.51,39002101.96,52896452.99,56589903.53,96725335.93,98508573.07,225767529.1,114100921.2,209507737.8,77296307.81
Well 6,0,2310915.64,2177018.366,4099112.472,8755741.023,14308457.58,20006464.65,43360743.35,54529302.8,56525244.37,150365823,217206280.2,78420563.89,128187490.4,90181330.59,540429112.1,122458398.8,204586014.2,39286320.16,229569332.4
Well 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16674224.23,39173477.17,17435055.01
Well 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13613661.9,37069350.34,14024395.59
Well 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17664382.45,18059483.05,14097423.58
Well 10,2163624036,1514917633,1362982476,1149107285,1371803015,1253151922,1355757071,929903783,469879218.6,461318051.5,601226234.5,670862812,389119200.9,1007992059,799162604.6,248509730,634133902.2,452168019.2,,430720214.4
Well 11,1521835915,1419220949,1350283829,1219267805,1234720481,1151746128,1608534855,1162636627,880665475.7,982756533.5,1078288729,1015654966,863195687.6,1276701209,674393173.8,305564531,412815568.6,410462528.3,,247031953
Well 12,1745051029,1591107405,1164585465,1154282231,1367716463,1200206474,1678819925,987235248.7,951014426.6,1112405499,1578017355,1959374055,1849620769,1899270799,365016635.7,263623842,184634891.9,155699618.1,,372311955.5
