species,sucrose,K,mu,Q,R_star
M. Koreensis,10,0.0058,0.1741,0.0009,0.0014
M. Koreensis,30,0.0029,0.1305,0.0009,0.001
M. Koreensis,50,0.0365,0.1219,0.0009,0.014
M. Reukaufii,10,0.0047,0.1469,0.0011,0.0014
M. Reukaufii,30,0.0067,0.1225,0.0011,0.0025
M. Reukaufii,50,0.0084,0.1409,0.0011,0.0026
S. Bombicola,10,0.0048,0.0772,0.0004,0.0037
S. Bombicola,30,0.0083,0.0966,0.0004,0.0044
S. Bombicola,50,0.0021,0.0349,0.0004,0.0526
M. Gruessii,10,0.0169,0.0442,0.0245,0.053
M. Gruessii,30,0.0003,0.0992,0.0245,0.0002
M. Gruessii,50,0.0426,0.093,0.0245,0.024
