lambda,BS4; 0,BS5; 0,I_in,Column,Explanation,Unit
400,4.62E-06,3.22E-06,-0.000993417,lambda,Wavelength,nm
403,4.73E-06,3.27E-06,0.000816792,BS4; 0,Absorption of BS4 species at 100mug/L atrazine,mul/cells*cm^-1
406,4.90E-06,3.36E-06,0.024020766,I_in,Incoming light intensity,mumol photons m^-2s^-1
409,5.12E-06,3.48E-06,0.015108208,,,
412,5.37E-06,3.60E-06,0.001889914,,,
415,5.58E-06,3.71E-06,0.002208271,,,
418,5.74E-06,3.79E-06,0.002980916,,,
421,5.83E-06,3.84E-06,0.003739344,,,
424,5.88E-06,3.86E-06,0.005685559,,,
427,5.94E-06,3.89E-06,0.007762643,,,
430,6.05E-06,3.96E-06,0.010111119,,,
433,6.22E-06,4.06E-06,0.014481523,,,
436,6.39E-06,4.15E-06,0.089195064,,,
439,6.47E-06,4.20E-06,0.067879267,,,
442,6.42E-06,4.15E-06,0.022808208,,,
445,6.16E-06,3.98E-06,0.020976469,,,
448,5.72E-06,3.71E-06,0.022677196,,,
451,5.21E-06,3.40E-06,0.024177717,,,
454,4.75E-06,3.13E-06,0.024237704,,,
457,4.42E-06,2.95E-06,0.023664598,,,
460,4.20E-06,2.83E-06,0.02352474,,,
463,4.06E-06,2.75E-06,0.023534862,,,
466,3.96E-06,2.69E-06,0.02158769,,,
469,3.85E-06,2.63E-06,0.019678531,,,
472,3.64E-06,2.52E-06,0.018279752,,,
475,3.51E-06,2.45E-06,0.018492746,,,
478,3.40E-06,2.40E-06,0.017819071,,,
481,3.30E-06,2.37E-06,0.019653624,,,
484,3.24E-06,2.36E-06,0.040164777,,,
487,3.21E-06,2.38E-06,0.080213616,,,
490,3.21E-06,2.42E-06,0.09587189,,,
493,3.21E-06,2.46E-06,0.076657744,,,
496,3.18E-06,2.50E-06,0.060000244,,,
499,3.13E-06,2.52E-06,0.0388673,,,
502,3.00E-06,2.51E-06,0.026133681,,,
505,2.86E-06,2.50E-06,0.014829665,,,
508,2.68E-06,2.49E-06,0.011009327,,,
511,2.51E-06,2.49E-06,0.009406877,,,
514,2.32E-06,2.49E-06,0.007177399,,,
517,2.06E-06,2.48E-06,0.006224036,,,
520,1.87E-06,2.52E-06,0.005542771,,,
523,1.67E-06,2.56E-06,0.004141162,,,
526,1.53E-06,2.64E-06,0.004816973,,,
529,1.42E-06,2.71E-06,0.005962398,,,
532,1.35E-06,2.80E-06,0.008384408,,,
535,1.29E-06,2.90E-06,0.024120804,,,
538,1.27E-06,3.03E-06,0.061216336,,,
541,1.25E-06,3.16E-06,0.244119328,,,
544,1.25E-06,3.30E-06,0.646970787,,,
547,1.26E-06,3.45E-06,0.734881731,,,
550,1.27E-06,3.65E-06,0.475508136,,,
553,1.30E-06,3.80E-06,0.155284721,,,
556,1.34E-06,3.94E-06,0.069025545,,,
559,1.39E-06,4.07E-06,0.025365628,,,
562,1.45E-06,4.21E-06,0.016757449,,,
565,1.53E-06,4.36E-06,0.012906672,,,
568,1.62E-06,4.48E-06,0.009522298,,,
571,1.73E-06,4.51E-06,0.007602098,,,
574,1.83E-06,4.32E-06,0.006751038,,,
577,1.93E-06,3.86E-06,0.048494141,,,
580,2.00E-06,3.24E-06,0.097948491,,,
583,2.02E-06,2.62E-06,0.117913352,,,
586,2.03E-06,2.14E-06,0.156690094,,,
589,2.05E-06,1.80E-06,0.158599096,,,
592,2.10E-06,1.60E-06,0.102905725,,,
595,2.17E-06,1.47E-06,0.131551846,,,
598,2.26E-06,1.40E-06,0.067346162,,,
601,2.36E-06,1.35E-06,0.089262381,,,
604,2.48E-06,1.32E-06,0.053047989,,,
607,2.62E-06,1.30E-06,0.061976676,,,
610,2.80E-06,1.29E-06,0.286764934,,,
613,3.02E-06,1.29E-06,1.036523697,,,
616,3.25E-06,1.29E-06,0.374188456,,,
619,3.50E-06,1.29E-06,0.1438884,,,
622,3.75E-06,1.30E-06,0.122668712,,,
625,4.00E-06,1.29E-06,0.143182831,,,
628,4.25E-06,1.29E-06,0.140470042,,,
631,4.37E-06,1.27E-06,0.153230997,,,
634,4.39E-06,1.24E-06,0.109925633,,,
637,4.32E-06,1.20E-06,0.027976816,,,
640,4.12E-06,1.14E-06,0.018033815,,,
643,3.82E-06,1.09E-06,0.016356278,,,
646,3.44E-06,1.04E-06,0.018484359,,,
649,3.03E-06,1.01E-06,0.02058038,,,
652,2.65E-06,9.94E-07,0.047613005,,,
655,2.36E-06,1.01E-06,0.030877257,,,
658,2.21E-06,1.06E-06,0.022717849,,,
661,2.23E-06,1.17E-06,0.018737483,,,
664,2.40E-06,1.34E-06,0.028415067,,,
667,2.66E-06,1.54E-06,0.016284678,,,
670,2.93E-06,1.73E-06,0.01323001,,,
673,3.15E-06,1.88E-06,0.012324323,,,
676,3.32E-06,1.99E-06,0.010135782,,,
679,3.48E-06,2.10E-06,0.010602051,,,
682,3.56E-06,2.15E-06,0.013004861,,,
685,3.39E-06,2.04E-06,0.011784352,,,
688,2.97E-06,1.78E-06,0.021996363,,,
691,2.47E-06,1.47E-06,0.013871339,,,
694,1.95E-06,1.15E-06,0.013966936,,,
697,1.49E-06,8.72E-07,0.00823616,,,
700,9.54E-07,5.79E-07,0.002491692,,,
